시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
KOSPI200,하이브,352820,2021-09-28,283500.0,51.36,2.13,333500.0,17.64,341000.0,20.28,272000.0,-4.06,미터치,60
KOSPI200,한화에어로스페이스,012450,2021-10-01,52970.0,56.33,2.79,44871.0,-15.29,47876.0,-9.62,40897.0,-22.79,터치,60
KOSPI200,한화에어로스페이스,012450,2021-10-05,53174.0,57.07,1.55,43852.0,-17.53,49149.0,-7.57,40897.0,-23.09,터치,60
KOSPI200,제일기획,030000,2021-10-05,23750.0,57.89,1.95,23700.0,-0.21,23450.0,-1.26,21250.0,-10.53,터치,60
NASDAQ100,Fastenal,FAST,2021-10-12,26.92,55.3,1.95,29.41,9.27,30.94,14.97,26.75,-0.63,미터치,60
KOSPI200,두산에너빌리티,034020,2021-10-13,20993.0,57.97,3.99,24806.0,18.16,20050.0,-4.49,18145.0,-13.57,터치,60
KOSPI200,영풍,000670,2021-10-14,67092.0,57.6,1.66,65019.0,-3.09,62003.0,-7.59,58329.0,-13.06,터치,60
KOSPI200,한전기술,052690,2021-10-14,51900.0,56.94,2.2,93600.0,80.35,77300.0,48.94,51900.0,0.0,미터치,60
NASDAQ100,Amazon,AMZN,2021-10-15,170.45,58.19,1.76,176.26,3.41,165.36,-2.99,156.3,-8.3,터치,60
KOSPI200,영원무역,111770,2021-11-16,46700.0,59.11,1.88,44000.0,-5.78,45150.0,-3.32,37950.0,-18.74,터치,60
KOSPI200,삼성바이오로직스,207940,2021-11-19,1297431.0,57.95,1.99,1389066.0,7.06,1105434.0,-14.8,1007981.0,-22.31,터치,60
KOSPI200,HS효성첨단소재,298050,2021-12-03,674000.0,55.05,2.11,574000.0,-14.84,505000.0,-25.07,398000.0,-40.95,터치,60
KOSPI200,삼성증권,016360,2021-12-06,48600.0,59.74,2.28,44450.0,-8.54,41050.0,-15.53,39050.0,-19.65,터치,60
KOSPI200,롯데정밀화학,004000,2021-12-09,79800.0,47.25,1.9,75500.0,-5.39,78800.0,-1.25,65300.0,-18.17,터치,60
NASDAQ100,Fortinet,FTNT,2021-12-17,66.77,53.05,5.43,61.69,-7.6,59.51,-10.87,52.57,-21.27,터치,60
KOSPI200,미원에스씨,268280,2021-12-20,210000.0,55.59,1.66,213000.0,1.43,195500.0,-6.9,187000.0,-10.95,터치,60
KOSPI200,미원에스씨,268280,2021-12-23,210000.0,55.38,1.93,205500.0,-2.14,195500.0,-6.9,187000.0,-10.95,터치,60
KOSPI200,JB금융지주,175330,2022-01-11,8710.0,58.33,2.05,8490.0,-2.53,8690.0,-0.23,7790.0,-10.56,터치,60
KOSPI200,율촌화학,008730,2022-02-09,25300.0,54.72,1.58,23400.0,-7.51,23300.0,-7.91,22100.0,-12.65,터치,60
